
time;ax;ay;az;wx;wy;wz;
0.0180;0.2164;0.3118;-0.2044;0.1222;-0.1571;-1.0646;
0.0200;0.2164;0.3118;-0.2044;0.1222;-0.1571;-1.0646;
0.0210;0.2164;0.3118;-0.2044;0.0872;-0.1222;-0.7854;
0.0220;-0.8508;0.5916;-0.4015;0.0872;-0.1222;-0.7854;
0.0630;-0.8508;0.5916;-0.4015;0.0872;-0.1222;-0.7854;
0.0830;-0.8508;0.5916;-0.4015;0.0872;-0.1222;-0.7854;
0.0860;-0.8508;0.5916;-0.4015;0.0872;-0.1222;-0.7854;
0.0870;-0.8508;0.5916;-0.4015;0.0698;-0.0872;-0.6283;
0.0870;-0.3863;0.0202;1.6316;0.0698;-0.0872;-0.6283;
0.1490;-0.3863;0.0202;1.6316;0.0698;-0.0872;-0.6283;
0.1520;-0.3863;0.0202;1.6316;0.0698;-0.0872;-0.6283;
0.1520;-0.3863;0.0202;1.6316;0.0349;-0.0524;-0.5061;
0.1530;-1.4955;0.1400;-2.4188;0.0349;-0.0524;-0.5061;
0.1830;-1.4955;0.1400;-2.4188;0.0349;-0.0524;-0.5061;
0.2150;-1.4955;0.1400;-2.4188;0.0349;-0.0524;-0.5061;
0.2180;-1.4955;0.1400;-2.4188;0.0349;-0.0524;-0.5061;
0.2190;-1.4955;0.1400;-2.4188;0.0174;-0.0174;-0.4189;
0.2190;-0.0373;0.4650;-1.1287;0.0174;-0.0174;-0.4189;
0.2810;-0.0373;0.4650;-1.1287;0.0174;-0.0174;-0.4189;
0.2840;-0.0373;0.4650;-1.1287;0.0174;-0.0174;-0.4189;
0.2850;-0.0373;0.4650;-1.1287;0.0349;0.0000;-0.4538;
0.2850;-0.4347;0.6537;1.2409;0.0349;0.0000;-0.4538;
0.3630;-0.4347;0.6537;1.2409;0.0349;0.0000;-0.4538;
0.3640;-0.4347;0.6537;1.2409;0.0698;0.0000;-0.4887;
0.3640;-0.6830;0.6707;-0.5614;0.0698;0.0000;-0.4887;
0.3670;-0.6830;0.6707;-0.5614;0.0698;0.0000;-0.4887;
0.3700;-0.6830;0.6707;-0.5614;0.0698;0.0000;-0.4887;
0.4130;-0.6830;0.6707;-0.5614;0.0698;0.0000;-0.4887;
0.4160;-0.6830;0.6707;-0.5614;0.0698;0.0000;-0.4887;
0.4170;-0.6830;0.6707;-0.5614;0.0872;-0.0349;-0.4712;
0.4180;-0.0452;0.4838;-0.0647;0.0872;-0.0349;-0.4712;
0.4790;-0.0452;0.4838;-0.0647;0.0872;-0.0349;-0.4712;
0.4820;-0.0452;0.4838;-0.0647;0.0872;-0.0349;-0.4712;
0.4820;-0.0452;0.4838;-0.0647;0.1222;-0.0872;-0.4189;
0.4830;0.3251;0.4260;-2.2992;0.1222;-0.0872;-0.4189;
0.4830;0.3251;0.4260;-2.2992;0.1222;-0.0872;-0.4189;
0.5450;0.3251;0.4260;-2.2992;0.1222;-0.0872;-0.4189;
0.5480;0.3251;0.4260;-2.2992;0.1222;-0.0872;-0.4189;
0.5480;0.3251;0.4260;-2.2992;0.1396;-0.1222;-0.3840;
0.5490;0.3799;0.6936;-0.6115;0.1396;-0.1222;-0.3840;
0.6030;0.3799;0.6936;-0.6115;0.1396;-0.1222;-0.3840;
0.6110;0.3799;0.6936;-0.6115;0.1396;-0.1222;-0.3840;
0.6140;0.3799;0.6936;-0.6115;0.1396;-0.1222;-0.3840;
0.6140;0.3799;0.6936;-0.6115;0.1396;-0.1222;-0.3490;
