
time;ax;ay;az;wx;wy;wz;
0.0070;0.4486;0.1872;-0.4948;0.1047;-0.0872;0.2094;
0.0070;0.4486;0.1872;-0.4948;0.1047;-0.0872;0.2094;
0.0080;0.4486;0.1872;-0.4948;0.0698;0.0000;-0.0174;
0.0080;-0.6020;0.1217;-0.1980;0.0698;0.0000;-0.0174;
0.0530;-0.6020;0.1217;-0.1980;0.0698;0.0000;-0.0174;
0.0570;-0.6020;0.1217;-0.1980;0.0698;0.0000;-0.0174;
0.0580;-0.6020;0.1217;-0.1980;0.0349;0.0524;-0.2443;
0.0590;-0.1875;0.2862;0.2820;0.0349;0.0524;-0.2443;
0.1190;-0.1875;0.2862;0.2820;0.0349;0.0524;-0.2443;
0.1240;-0.1875;0.2862;0.2820;0.0349;0.0524;-0.2443;
0.1240;-0.1875;0.2862;0.2820;0.0000;0.1222;-0.4538;
0.1250;-0.0407;0.2751;-0.7186;0.0000;0.1222;-0.4538;
0.1860;-0.0407;0.2751;-0.7186;0.0000;0.1222;-0.4538;
0.1900;-0.0407;0.2751;-0.7186;0.0000;0.1222;-0.4538;
0.1910;-0.0407;0.2751;-0.7186;0.0000;0.1920;-0.6108;
0.1910;-0.1974;0.0996;0.0596;0.0000;0.1920;-0.6108;
0.2510;-0.1974;0.0996;0.0596;0.0000;0.1920;-0.6108;
0.2550;-0.1974;0.0996;0.0596;0.0000;0.1920;-0.6108;
0.2560;-0.1974;0.0996;0.0596;0.0349;0.2269;-0.6283;
0.2560;-0.4416;-0.0984;0.4183;0.0349;0.2269;-0.6283;
0.3170;-0.4416;-0.0984;0.4183;0.0349;0.2269;-0.6283;
0.3210;-0.4416;-0.0984;0.4183;0.0349;0.2269;-0.6283;
0.3230;-0.4416;-0.0984;0.4183;0.0698;0.2269;-0.5759;
0.3230;-0.7238;0.5695;-0.1086;0.0698;0.2269;-0.5759;
0.4300;-0.7238;0.5695;-0.1086;0.0698;0.2269;-0.5759;
0.4300;-0.7238;0.5695;-0.1086;0.0872;0.1571;-0.2792;
0.4310;-0.4843;0.4402;0.0394;0.0872;0.1571;-0.2792;
0.4320;-0.4843;0.4402;0.0394;0.0872;0.1571;-0.2792;
0.4490;-0.4843;0.4402;0.0394;0.0872;0.1571;-0.2792;
0.4530;-0.4843;0.4402;0.0394;0.0872;0.1571;-0.2792;
0.4540;-0.4843;0.4402;0.0394;0.0872;0.1396;-0.2269;
0.4540;0.5320;0.1818;0.0573;0.0872;0.1396;-0.2269;
0.5140;0.5320;0.1818;0.0573;0.0872;0.1396;-0.2269;
0.5190;0.5320;0.1818;0.0573;0.0872;0.1396;-0.2269;
0.5200;0.5320;0.1818;0.0573;0.0872;0.1047;-0.1222;
0.5200;0.5980;0.3828;-0.0880;0.0872;0.1047;-0.1222;
0.5800;0.5980;0.3828;-0.0880;0.0872;0.1047;-0.1222;
0.5850;0.5980;0.3828;-0.0880;0.0872;0.1047;-0.1222;
0.5860;0.5980;0.3828;-0.0880;0.0872;0.0872;-0.0698;
0.5860;1.1816;0.1243;-0.3296;0.0872;0.0872;-0.0698;
0.6470;1.1816;0.1243;-0.3296;0.0872;0.0872;-0.0698;
0.6510;1.1816;0.1243;-0.3296;0.0872;0.0872;-0.0698;
0.6520;1.1816;0.1243;-0.3296;0.1047;0.0524;0.0349;
0.6530;1.2720;0.3290;-0.3515;0.1047;0.0524;0.0349;
0.7130;1.2720;0.3290;-0.3515;0.1047;0.0524;0.0349;
0.7170;1.2720;0.3290;-0.3515;0.1047;0.0524;0.0349;
0.7180;1.2720;0.3290;-0.3515;0.0698;-0.0174;0.2618;
0.7180;1.6557;0.3876;0.0256;0.0698;-0.0174;0.2618;
0.7810;1.6557;0.3876;0.0256;0.0698;-0.0174;0.2618;
0.7830;1.6557;0.3876;0.0256;0.0698;-0.0174;0.2618;
0.7840;1.6557;0.3876;0.0256;0.0174;-0.1396;0.5585;
0.7850;1.8731;0.1909;0.2325;0.0174;-0.1396;0.5585;
0.8440;1.8731;0.1909;0.2325;0.0174;-0.1396;0.5585;
0.8490;1.8731;0.1909;0.2325;0.0174;-0.1396;0.5585;
0.8500;1.8731;0.1909;0.2325;-0.0174;-0.2792;0.9424;
0.8500;1.8687;0.1122;-0.5303;-0.0174;-0.2792;0.9424;
0.9120;1.8687;0.1122;-0.5303;-0.0174;-0.2792;0.9424;
0.9150;1.8687;0.1122;-0.5303;-0.0174;-0.2792;0.9424;
0.9160;1.8687;0.1122;-0.5303;-0.0174;-0.3665;1.1344;
0.9160;2.4428;-0.3107;0.0286;-0.0174;-0.3665;1.1344;
0.9760;2.4428;-0.3107;0.0286;-0.0174;-0.3665;1.1344;
0.9810;2.4428;-0.3107;0.0286;-0.0174;-0.3665;1.1344;
0.9820;2.4428;-0.3107;0.0286;0.0000;-0.4014;1.2217;
0.9820;2.5091;-0.5375;0.2354;0.0000;-0.4014;1.2217;
1.0430;2.5091;-0.5375;0.2354;0.0000;-0.4014;1.2217;
1.0470;2.5091;-0.5375;0.2354;0.0000;-0.4014;1.2217;
1.0480;2.5091;-0.5375;0.2354;0.0000;-0.4189;1.2566;
1.0480;3.7786;-0.5359;-0.3731;0.0000;-0.4189;1.2566;
1.1090;3.7786;-0.5359;-0.3731;0.0000;-0.4189;1.2566;
1.1130;3.7786;-0.5359;-0.3731;0.0000;-0.4189;1.2566;
1.1140;3.7786;-0.5359;-0.3731;0.0000;-0.4363;1.2566;
1.1150;1.3627;-0.9050;1.1911;0.0000;-0.4363;1.2566;
1.1750;1.3627;-0.9050;1.1911;0.0000;-0.4363;1.2566;
1.1790;1.3627;-0.9050;1.1911;0.0000;-0.4363;1.2566;
1.1800;1.3627;-0.9050;1.1911;0.0000;-0.4363;1.2566;
1.1810;0.5610;-0.9222;-0.6644;0.0000;-0.4363;1.2566;
1.2410;0.5610;-0.9222;-0.6644;0.0000;-0.4363;1.2566;
1.2450;0.5610;-0.9222;-0.6644;0.0000;-0.4363;1.2566;
1.2460;0.5610;-0.9222;-0.6644;-0.0349;-0.4189;1.2566;
1.2470;-0.1231;-0.6611;-0.3448;-0.0349;-0.4189;1.2566;
1.3070;-0.1231;-0.6611;-0.3448;-0.0349;-0.4189;1.2566;
1.3110;-0.1231;-0.6611;-0.3448;-0.0349;-0.4189;1.2566;
1.3120;-0.1231;-0.6611;-0.3448;-0.0698;-0.3665;1.0995;
1.3130;1.4799;0.3277;-0.0909;-0.0698;-0.3665;1.0995;
1.3730;1.4799;0.3277;-0.0909;-0.0698;-0.3665;1.0995;
1.3770;1.4799;0.3277;-0.0909;-0.0698;-0.3665;1.0995;
1.3780;1.4799;0.3277;-0.0909;-0.1920;-0.1571;0.5236;
1.3790;-0.9039;-0.0637;-0.9818;-0.1920;-0.1571;0.5236;
1.4390;-0.9039;-0.0637;-0.9818;-0.1920;-0.1571;0.5236;
1.4430;-0.9039;-0.0637;-0.9818;-0.1920;-0.1571;0.5236;
1.4440;-0.9039;-0.0637;-0.9818;-0.2792;0.0174;-0.0872;
1.4450;-0.8073;-0.2120;0.9682;-0.2792;0.0174;-0.0872;
1.5050;-0.8073;-0.2120;0.9682;-0.2792;0.0174;-0.0872;
1.5090;-0.8073;-0.2120;0.9682;-0.2792;0.0174;-0.0872;
1.5100;-0.8073;-0.2120;0.9682;-0.3316;0.1571;-0.7505;
1.5110;-1.2450;-0.7070;0.3723;-0.3316;0.1571;-0.7505;
1.5710;-1.2450;-0.7070;0.3723;-0.3316;0.1571;-0.7505;
1.5750;-1.2450;-0.7070;0.3723;-0.3316;0.1571;-0.7505;
1.5760;-1.2450;-0.7070;0.3723;-0.3141;0.2967;-1.5009;
1.5770;-2.0103;0.5193;-0.4211;-0.3141;0.2967;-1.5009;
1.6370;-2.0103;0.5193;-0.4211;-0.3141;0.2967;-1.5009;
1.6410;-2.0103;0.5193;-0.4211;-0.3141;0.2967;-1.5009;
1.6420;-2.0103;0.5193;-0.4211;-0.2443;0.3665;-1.9896;
1.6430;-1.6695;-0.3127;-2.4120;-0.2443;0.3665;-1.9896;
1.7030;-1.6695;-0.3127;-2.4120;-0.2443;0.3665;-1.9896;
1.7070;-1.6695;-0.3127;-2.4120;-0.2443;0.3665;-1.9896;
1.7080;-1.6695;-0.3127;-2.4120;-0.1396;0.4538;-2.3212;
1.7090;-1.5568;-0.9554;-2.3245;-0.1396;0.4538;-2.3212;
1.7690;-1.5568;-0.9554;-2.3245;-0.1396;0.4538;-2.3212;
1.7730;-1.5568;-0.9554;-2.3245;-0.1396;0.4538;-2.3212;
1.7740;-1.5568;-0.9554;-2.3245;-0.0349;0.5061;-2.3736;
1.7750;-1.8109;-2.3559;2.3427;-0.0349;0.5061;-2.3736;
1.8350;-1.8109;-2.3559;2.3427;-0.0349;0.5061;-2.3736;
1.8390;-1.8109;-2.3559;2.3427;-0.0349;0.5061;-2.3736;
1.8400;-1.8109;-2.3559;2.3427;0.0349;0.5061;-2.1467;
1.8410;0.5689;-3.5601;2.2610;0.0349;0.5061;-2.1467;
1.9010;0.5689;-3.5601;2.2610;0.0349;0.5061;-2.1467;
1.9050;0.5689;-3.5601;2.2610;0.0349;0.5061;-2.1467;
1.9060;0.5689;-3.5601;2.2610;0.0174;0.4538;-1.7976;
1.9070;0.9553;-3.8177;1.9003;0.0174;0.4538;-1.7976;
1.9670;0.9553;-3.8177;1.9003;0.0174;0.4538;-1.7976;
1.9740;0.9553;-3.8177;1.9003;0.0174;0.4538;-1.7976;
1.9740;0.9553;-3.8177;1.9003;-0.1571;0.3490;-1.3613;
1.9750;-1.0844;-4.5219;2.2789;-0.1571;0.3490;-1.3613;
2.0330;-1.0844;-4.5219;2.2789;-0.1571;0.3490;-1.3613;
2.0370;-1.0844;-4.5219;2.2789;-0.1571;0.3490;-1.3613;
2.0400;-1.0844;-4.5219;2.2789;-0.4887;0.1571;-0.7505;
2.0400;-1.8665;-5.4494;3.2254;-0.4887;0.1571;-0.7505;
2.1260;-1.8665;-5.4494;3.2254;-0.4887;0.1571;-0.7505;
2.1260;-1.8665;-5.4494;3.2254;-0.4887;0.1571;-0.7505;
2.1310;-1.8665;-5.4494;3.2254;-0.9075;-0.1571;0.2618;
2.1320;-4.7896;-5.2004;-4.2089;-0.9075;-0.1571;0.2618;
2.1650;-4.7896;-5.2004;-4.2089;-0.9075;-0.1571;0.2618;
2.1710;-4.7896;-5.2004;-4.2089;-0.9075;-0.1571;0.2618;
2.1710;-4.7896;-5.2004;-4.2089;-1.1519;-0.3316;0.9424;
2.1720;-2.0738;-4.4740;-2.0442;-1.1519;-0.3316;0.9424;
2.2310;-2.0738;-4.4740;-2.0442;-1.1519;-0.3316;0.9424;
2.2350;-2.0738;-4.4740;-2.0442;-1.1519;-0.3316;0.9424;
2.2360;-2.0738;-4.4740;-2.0442;-1.2391;-0.2618;1.0472;
2.2360;-1.8531;-3.2077;-2.2702;-1.2391;-0.2618;1.0472;
2.2960;-1.8531;-3.2077;-2.2702;-1.2391;-0.2618;1.0472;
2.3030;-1.8531;-3.2077;-2.2702;-1.2391;-0.2618;1.0472;
2.3040;-1.8531;-3.2077;-2.2702;-1.2566;0.2094;0.4712;
2.3040;-0.8730;-1.4830;-5.0041;-1.2566;0.2094;0.4712;
2.3630;-0.8730;-1.4830;-5.0041;-1.2566;0.2094;0.4712;
2.3670;-0.8730;-1.4830;-5.0041;-1.2566;0.2094;0.4712;
2.3680;-0.8730;-1.4830;-5.0041;-1.1693;0.6108;-0.0872;
2.3680;-5.9878;-6.3893;-0.4462;-1.1693;0.6108;-0.0872;
2.4290;-5.9878;-6.3893;-0.4462;-1.1693;0.6108;-0.0872;
2.4360;-5.9878;-6.3893;-0.4462;-1.1693;0.6108;-0.0872;
2.4370;-5.9878;-6.3893;-0.4462;-1.0646;0.7854;-0.2094;
2.4370;-0.9968;-5.2878;-3.8805;-1.0646;0.7854;-0.2094;
2.4940;-0.9968;-5.2878;-3.8805;-1.0646;0.7854;-0.2094;
2.4990;-0.9968;-5.2878;-3.8805;-1.0646;0.7854;-0.2094;
2.5000;-0.9968;-5.2878;-3.8805;-0.9250;0.7505;-0.1047;
2.5000;-2.6707;-3.6336;-4.8103;-0.9250;0.7505;-0.1047;
2.5600;-2.6707;-3.6336;-4.8103;-0.9250;0.7505;-0.1047;
2.5650;-2.6707;-3.6336;-4.8103;-0.9250;0.7505;-0.1047;
2.5660;-2.6707;-3.6336;-4.8103;-0.8203;0.7854;-0.0524;
2.5660;-1.3791;-3.2328;-5.1019;-0.8203;0.7854;-0.0524;
2.6260;-1.3791;-3.2328;-5.1019;-0.8203;0.7854;-0.0524;
2.6310;-1.3791;-3.2328;-5.1019;-0.8203;0.7854;-0.0524;
2.6320;-1.3791;-3.2328;-5.1019;-0.7505;1.1344;-0.2967;
2.6320;1.0083;-3.5883;-5.5375;-0.7505;1.1344;-0.2967;
2.6920;1.0083;-3.5883;-5.5375;-0.7505;1.1344;-0.2967;
2.6970;1.0083;-3.5883;-5.5375;-0.7505;1.1344;-0.2967;
2.6980;1.0083;-3.5883;-5.5375;-0.7330;1.4311;-0.5410;
2.6980;2.0111;-0.8133;-9.7282;-0.7330;1.4311;-0.5410;
2.7580;2.0111;-0.8133;-9.7282;-0.7330;1.4311;-0.5410;
2.7640;2.0111;-0.8133;-9.7282;-0.7330;1.4311;-0.5410;
2.7650;2.0111;-0.8133;-9.7282;-0.7330;1.5184;-0.6632;
2.7650;-7.9324;-12.7100;-6.0428;-0.7330;1.5184;-0.6632;
2.8250;-7.9324;-12.7100;-6.0428;-0.7330;1.5184;-0.6632;
2.8320;-7.9324;-12.7100;-6.0428;-0.7330;1.5184;-0.6632;
2.8330;-7.9324;-12.7100;-6.0428;-0.8028;1.6057;-0.8552;
2.8340;-2.4931;-4.2468;-7.5115;-0.8028;1.6057;-0.8552;
2.8900;-2.4931;-4.2468;-7.5115;-0.8028;1.6057;-0.8552;
2.8950;-2.4931;-4.2468;-7.5115;-0.8028;1.6057;-0.8552;
2.8960;-2.4931;-4.2468;-7.5115;-0.8028;2.0594;-1.2042;
2.8960;-5.1224;-0.5626;-2.6990;-0.8028;2.0594;-1.2042;
2.9570;-5.1224;-0.5626;-2.6990;-0.8028;2.0594;-1.2042;
2.9610;-5.1224;-0.5626;-2.6990;-0.8028;2.0594;-1.2042;
2.9620;-5.1224;-0.5626;-2.6990;-0.7854;2.5656;-1.3962;
2.9620;-3.7103;-1.2456;-2.3648;-0.7854;2.5656;-1.3962;
3.0220;-3.7103;-1.2456;-2.3648;-0.7854;2.5656;-1.3962;
3.0270;-3.7103;-1.2456;-2.3648;-0.7854;2.5656;-1.3962;
3.0280;-3.7103;-1.2456;-2.3648;-0.8203;2.3910;-1.2042;
3.0280;-4.1551;-0.9073;-1.7311;-0.8203;2.3910;-1.2042;
3.0900;-4.1551;-0.9073;-1.7311;-0.8203;2.3910;-1.2042;
3.0930;-4.1551;-0.9073;-1.7311;-0.8203;2.3910;-1.2042;
3.0940;-4.1551;-0.9073;-1.7311;-0.9250;0.7854;-0.2269;
3.0950;-3.3812;0.7170;-2.5345;-0.9250;0.7854;-0.2269;
3.1550;-3.3812;0.7170;-2.5345;-0.9250;0.7854;-0.2269;
3.1590;-3.3812;0.7170;-2.5345;-0.9250;0.7854;-0.2269;
3.1600;-3.3812;0.7170;-2.5345;-0.9599;-0.6981;0.5236;
3.1610;-2.7887;-1.7479;-3.0068;-0.9599;-0.6981;0.5236;
3.2240;-2.7887;-1.7479;-3.0068;-0.9599;-0.6981;0.5236;
3.2280;-2.7887;-1.7479;-3.0068;-0.9599;-0.6981;0.5236;
3.2290;-2.7887;-1.7479;-3.0068;-0.7330;-1.2740;0.9250;
3.2300;-2.9892;0.7142;-1.1457;-0.7330;-1.2740;0.9250;
3.2870;-2.9892;0.7142;-1.1457;-0.7330;-1.2740;0.9250;
3.2910;-2.9892;0.7142;-1.1457;-0.7330;-1.2740;0.9250;
3.2920;-2.9892;0.7142;-1.1457;-0.4189;-1.1693;1.0123;
3.2930;-1.4317;-0.1880;-0.1778;-0.4189;-1.1693;1.0123;
3.3530;-1.4317;-0.1880;-0.1778;-0.4189;-1.1693;1.0123;
3.3570;-1.4317;-0.1880;-0.1778;-0.4189;-1.1693;1.0123;
3.3580;-1.4317;-0.1880;-0.1778;-0.0872;-0.6458;0.9424;
3.3580;-0.2710;1.0353;0.0943;-0.0872;-0.6458;0.9424;
3.4180;-0.2710;1.0353;0.0943;-0.0872;-0.6458;0.9424;
3.4230;-0.2710;1.0353;0.0943;-0.0872;-0.6458;0.9424;
3.4240;-0.2710;1.0353;0.0943;0.1571;-0.1745;0.7505;
3.4240;0.4463;2.7652;0.4254;0.1571;-0.1745;0.7505;
3.4890;0.4463;2.7652;0.4254;0.1571;-0.1745;0.7505;
3.4900;0.4463;2.7652;0.4254;0.1571;-0.1745;0.7505;
3.4910;0.4463;2.7652;0.4254;0.2967;0.0000;0.5759;
3.5030;-0.0857;4.3082;1.0321;0.2967;0.0000;0.5759;
3.5500;-0.0857;4.3082;1.0321;0.2967;0.0000;0.5759;
3.5550;-0.0857;4.3082;1.0321;0.2967;0.0000;0.5759;
3.5560;-0.0857;4.3082;1.0321;0.3141;-0.1047;0.3665;
3.5560;-2.2744;2.9346;4.5120;0.3141;-0.1047;0.3665;
3.6170;-2.2744;2.9346;4.5120;0.3141;-0.1047;0.3665;
3.6210;-2.2744;2.9346;4.5120;0.3141;-0.1047;0.3665;
3.6220;-2.2744;2.9346;4.5120;0.2618;-0.3665;0.3141;
3.6230;-4.7989;1.8807;4.9271;0.2618;-0.3665;0.3141;
3.6830;-4.7989;1.8807;4.9271;0.2618;-0.3665;0.3141;
3.6870;-4.7989;1.8807;4.9271;0.2618;-0.3665;0.3141;
3.6890;-4.7989;1.8807;4.9271;0.1745;-0.7330;0.4189;
3.6900;2.9702;1.6496;-3.1097;0.1745;-0.7330;0.4189;
3.7490;2.9702;1.6496;-3.1097;0.1745;-0.7330;0.4189;
3.7540;2.9702;1.6496;-3.1097;0.1745;-0.7330;0.4189;
3.7550;2.9702;1.6496;-3.1097;0.1222;-1.0995;0.6806;
3.7810;1.1613;-10.9486;4.7020;0.1222;-1.0995;0.6806;
3.9660;1.1613;-10.9486;4.7020;0.1222;-1.0995;0.6806;
3.9670;1.1613;-10.9486;4.7020;0.1222;-1.0995;0.6806;
3.9680;1.1613;-10.9486;4.7020;0.0872;-1.2042;0.8203;
3.9700;1.0488;3.2225;-2.1600;0.0872;-1.2042;0.8203;
4.0310;1.0488;3.2225;-2.1600;0.0872;-1.2042;0.8203;
