
time;ax;ay;az;wx;wy;wz;
0.0200;1.1760;-0.9224;1.8947;-0.0174;-0.2094;0.8203;
0.0220;1.1760;-0.9224;1.8947;-0.0174;-0.2094;0.8203;
0.0230;1.1760;-0.9224;1.8947;0.0000;-0.1396;0.6283;
0.0240;0.3364;-0.6605;0.3611;0.0000;-0.1396;0.6283;
0.0860;0.3364;-0.6605;0.3611;0.0000;-0.1396;0.6283;
0.0880;0.3364;-0.6605;0.3611;0.0000;-0.1396;0.6283;
0.0890;0.3364;-0.6605;0.3611;0.0174;-0.1222;0.2094;
0.0890;-1.8566;-0.2652;0.9857;0.0174;-0.1222;0.2094;
0.1520;-1.8566;-0.2652;0.9857;0.0174;-0.1222;0.2094;
0.1540;-1.8566;-0.2652;0.9857;0.0174;-0.1222;0.2094;
0.1550;-1.8566;-0.2652;0.9857;0.0000;-0.1222;-0.1047;
0.1560;0.0072;-1.0610;1.9572;0.0000;-0.1222;-0.1047;
0.2200;0.0072;-1.0610;1.9572;0.0000;-0.1222;-0.1047;
0.2210;0.0072;-1.0610;1.9572;-0.0349;-0.0872;-0.2792;
0.2220;-0.1783;-1.4875;-0.6809;-0.0349;-0.0872;-0.2792;
0.2220;-0.1783;-1.4875;-0.6809;-0.0349;-0.0872;-0.2792;
0.2840;-0.1783;-1.4875;-0.6809;-0.0349;-0.0872;-0.2792;
0.2860;-0.1783;-1.4875;-0.6809;-0.0349;-0.0872;-0.2792;
0.2860;-0.1783;-1.4875;-0.6809;-0.0872;0.0524;-0.3316;
0.2870;-5.2452;1.1539;-6.8341;-0.0872;0.0524;-0.3316;
0.3500;-5.2452;1.1539;-6.8341;-0.0872;0.0524;-0.3316;
0.3520;-5.2452;1.1539;-6.8341;-0.0872;0.0524;-0.3316;
0.3530;-5.2452;1.1539;-6.8341;-0.0872;0.1745;-0.5585;
0.3530;-6.3775;2.3680;-3.0031;-0.0872;0.1745;-0.5585;
0.4160;-6.3775;2.3680;-3.0031;-0.0872;0.1745;-0.5585;
0.4180;-6.3775;2.3680;-3.0031;-0.0872;0.1745;-0.5585;
0.4190;-6.3775;2.3680;-3.0031;0.0000;0.2967;-1.1344;
0.4200;-8.7274;2.5387;-11.7679;0.0000;0.2967;-1.1344;
0.4820;-8.7274;2.5387;-11.7679;0.0000;0.2967;-1.1344;
0.4840;-8.7274;2.5387;-11.7679;0.0000;0.2967;-1.1344;
0.4850;-8.7274;2.5387;-11.7679;0.2618;0.5410;-1.8674;
0.4850;-4.9886;-0.4667;-3.3008;0.2618;0.5410;-1.8674;
0.5470;-4.9886;-0.4667;-3.3008;0.2618;0.5410;-1.8674;
0.5500;-4.9886;-0.4667;-3.3008;0.2618;0.5410;-1.8674;
0.5500;-4.9886;-0.4667;-3.3008;0.8552;1.3613;-2.1990;
0.5510;-6.7285;-0.4536;-4.4761;0.8552;1.3613;-2.1990;
0.6140;-6.7285;-0.4536;-4.4761;0.8552;1.3613;-2.1990;
0.6160;-6.7285;-0.4536;-4.4761;0.8552;1.3613;-2.1990;
0.6170;-6.7285;-0.4536;-4.4761;1.1693;2.1990;-1.8325;
0.6170;-5.1732;-0.9281;-4.3643;1.1693;2.1990;-1.8325;
0.6800;-5.1732;-0.9281;-4.3643;1.1693;2.1990;-1.8325;
0.6820;-5.1732;-0.9281;-4.3643;1.1693;2.1990;-1.8325;
0.6830;-5.1732;-0.9281;-4.3643;1.1344;2.8972;-1.0646;
0.6840;-5.7982;-1.1817;-2.9334;1.1344;2.8972;-1.0646;
0.7460;-5.7982;-1.1817;-2.9334;1.1344;2.8972;-1.0646;
0.7480;-5.7982;-1.1817;-2.9334;1.1344;2.8972;-1.0646;
0.7490;-5.7982;-1.1817;-2.9334;0.6283;3.0193;-0.3490;
0.7490;-4.2903;-1.7267;-1.5197;0.6283;3.0193;-0.3490;
0.8120;-4.2903;-1.7267;-1.5197;0.6283;3.0193;-0.3490;
0.8140;-4.2903;-1.7267;-1.5197;0.6283;3.0193;-0.3490;
0.8150;-4.2903;-1.7267;-1.5197;0.2618;2.4957;-0.2792;
0.8160;-1.8147;-2.3428;-1.4720;0.2618;2.4957;-0.2792;
0.8780;-1.8147;-2.3428;-1.4720;0.2618;2.4957;-0.2792;
0.8800;-1.8147;-2.3428;-1.4720;0.2618;2.4957;-0.2792;
0.8810;-1.8147;-2.3428;-1.4720;0.2443;1.6580;-0.4363;
0.8810;-1.7440;-2.2275;-0.7242;0.2443;1.6580;-0.4363;
0.9440;-1.7440;-2.2275;-0.7242;0.2443;1.6580;-0.4363;
0.9460;-1.7440;-2.2275;-0.7242;0.2443;1.6580;-0.4363;
0.9470;-1.7440;-2.2275;-0.7242;0.5236;0.8028;-0.6806;
0.9470;-3.6971;-1.6102;-1.2868;0.5236;0.8028;-0.6806;
1.0100;-3.6971;-1.6102;-1.2868;0.5236;0.8028;-0.6806;
1.0120;-3.6971;-1.6102;-1.2868;0.5236;0.8028;-0.6806;
1.0130;-3.6971;-1.6102;-1.2868;0.9948;-0.0698;-0.9599;
1.0140;-2.4415;-2.8277;-3.7333;0.9948;-0.0698;-0.9599;
1.0760;-2.4415;-2.8277;-3.7333;0.9948;-0.0698;-0.9599;
1.0780;-2.4415;-2.8277;-3.7333;0.9948;-0.0698;-0.9599;
1.0790;-2.4415;-2.8277;-3.7333;1.0646;-0.4538;-1.0297;
1.0790;0.4043;-2.5115;-1.5904;1.0646;-0.4538;-1.0297;
1.1420;0.4043;-2.5115;-1.5904;1.0646;-0.4538;-1.0297;
1.1440;0.4043;-2.5115;-1.5904;1.0646;-0.4538;-1.0297;
1.1450;0.4043;-2.5115;-1.5904;0.8203;-0.5061;-0.9948;
1.1460;0.6684;-2.1188;-0.2173;0.8203;-0.5061;-0.9948;
1.2080;0.6684;-2.1188;-0.2173;0.8203;-0.5061;-0.9948;
1.2100;0.6684;-2.1188;-0.2173;0.8203;-0.5061;-0.9948;
1.2110;0.6684;-2.1188;-0.2173;0.2269;-0.3316;-0.7679;
1.2110;-5.1555;-1.2685;-7.2757;0.2269;-0.3316;-0.7679;
1.2740;-5.1555;-1.2685;-7.2757;0.2269;-0.3316;-0.7679;
1.2760;-5.1555;-1.2685;-7.2757;0.2269;-0.3316;-0.7679;
1.2770;-5.1555;-1.2685;-7.2757;-0.0349;-0.1396;-0.6458;
1.2770;0.0267;-4.1378;-3.5765;-0.0349;-0.1396;-0.6458;
1.3400;0.0267;-4.1378;-3.5765;-0.0349;-0.1396;-0.6458;
1.3420;0.0267;-4.1378;-3.5765;-0.0349;-0.1396;-0.6458;
1.3430;0.0267;-4.1378;-3.5765;-0.1047;0.0000;-0.5934;
1.3430;-0.9675;-6.7959;-4.3226;-0.1047;0.0000;-0.5934;
1.4060;-0.9675;-6.7959;-4.3226;-0.1047;0.0000;-0.5934;
1.4080;-0.9675;-6.7959;-4.3226;-0.1047;0.0000;-0.5934;
1.4090;-0.9675;-6.7959;-4.3226;-0.1396;0.1920;-0.5410;
1.4090;1.1145;-3.8270;-6.0937;-0.1396;0.1920;-0.5410;
1.4720;1.1145;-3.8270;-6.0937;-0.1396;0.1920;-0.5410;
1.4740;1.1145;-3.8270;-6.0937;-0.1396;0.1920;-0.5410;
1.4750;1.1145;-3.8270;-6.0937;-0.4538;0.6108;-0.5236;
1.4760;2.6814;-3.8015;-5.2440;-0.4538;0.6108;-0.5236;
1.5740;2.6814;-3.8015;-5.2440;-0.4538;0.6108;-0.5236;
1.5740;2.6814;-3.8015;-5.2440;-0.8726;0.9773;-0.7854;
1.5750;3.2828;-11.0832;-0.7683;-0.8726;0.9773;-0.7854;
1.5750;3.2828;-11.0832;-0.7683;-0.8726;0.9773;-0.7854;
1.6040;3.2828;-11.0832;-0.7683;-0.8726;0.9773;-0.7854;
1.6060;3.2828;-11.0832;-0.7683;-0.8726;0.9773;-0.7854;
1.6070;3.2828;-11.0832;-0.7683;-0.8726;1.0123;-0.8901;
1.6080;1.5352;-9.3189;-7.8424;-0.8726;1.0123;-0.8901;
1.6700;1.5352;-9.3189;-7.8424;-0.8726;1.0123;-0.8901;
1.6720;1.5352;-9.3189;-7.8424;-0.8726;1.0123;-0.8901;
1.6730;1.5352;-9.3189;-7.8424;-0.7679;1.0297;-1.3962;
1.6730;8.9093;-6.0549;-2.2314;-0.7679;1.0297;-1.3962;
1.7360;8.9093;-6.0549;-2.2314;-0.7679;1.0297;-1.3962;
1.7380;8.9093;-6.0549;-2.2314;-0.7679;1.0297;-1.3962;
1.7390;8.9093;-6.0549;-2.2314;0.4363;0.8552;-1.2217;
1.7400;8.1779;-0.9684;0.1809;0.4363;0.8552;-1.2217;
1.8020;8.1779;-0.9684;0.1809;0.4363;0.8552;-1.2217;
1.8040;8.1779;-0.9684;0.1809;0.4363;0.8552;-1.2217;
1.8050;8.1779;-0.9684;0.1809;0.4014;0.6981;0.0349;
1.8060;6.1379;-11.4440;-2.7485;0.4014;0.6981;0.0349;
1.8680;6.1379;-11.4440;-2.7485;0.4014;0.6981;0.0349;
1.8700;6.1379;-11.4440;-2.7485;0.4014;0.6981;0.0349;
1.8710;6.1379;-11.4440;-2.7485;0.3141;0.7330;1.4137;
1.8720;6.5560;-4.4930;-2.5980;0.3141;0.7330;1.4137;
1.9350;6.5560;-4.4930;-2.5980;0.3141;0.7330;1.4137;
1.9370;6.5560;-4.4930;-2.5980;0.3141;0.7330;1.4137;
1.9370;6.5560;-4.4930;-2.5980;-0.6981;1.3613;2.7226;
1.9380;5.3219;-3.7054;-1.5078;-0.6981;1.3613;2.7226;
2.0080;5.3219;-3.7054;-1.5078;-0.6981;1.3613;2.7226;
2.0120;5.3219;-3.7054;-1.5078;-0.6981;1.3613;2.7226;
2.0130;5.3219;-3.7054;-1.5078;-0.5934;2.0943;2.5306;
2.0140;5.2493;-3.3596;-1.0423;-0.5934;2.0943;2.5306;
2.0660;5.2493;-3.3596;-1.0423;-0.5934;2.0943;2.5306;
2.0680;5.2493;-3.3596;-1.0423;-0.5934;2.0943;2.5306;
2.0690;5.2493;-3.3596;-1.0423;-0.3141;2.6179;2.0943;
2.0700;5.2150;-3.6954;-0.8985;-0.3141;2.6179;2.0943;
2.1320;5.2150;-3.6954;-0.8985;-0.3141;2.6179;2.0943;
2.1340;5.2150;-3.6954;-0.8985;-0.3141;2.6179;2.0943;
2.1350;5.2150;-3.6954;-0.8985;-0.0872;2.6528;1.5358;
2.1360;3.4330;-4.0867;-0.9535;-0.0872;2.6528;1.5358;
2.2020;3.4330;-4.0867;-0.9535;-0.0872;2.6528;1.5358;
2.2030;3.4330;-4.0867;-0.9535;0.0524;2.2689;1.0646;
2.2040;0.6573;-1.9154;-1.0828;0.0524;2.2689;1.0646;
2.2040;0.6573;-1.9154;-1.0828;0.0524;2.2689;1.0646;
2.2640;0.6573;-1.9154;-1.0828;0.0524;2.2689;1.0646;
2.2660;0.6573;-1.9154;-1.0828;0.0524;2.2689;1.0646;
2.2660;0.6573;-1.9154;-1.0828;0.1222;1.4486;0.5585;
2.2670;0.5657;-3.3710;-0.1944;0.1222;1.4486;0.5585;
