
time;ax;ay;az;wx;wy;wz;
0.0330;0.7897;-0.8286;0.4325;-0.0524;-0.1222;0.0524;
0.0350;0.7897;-0.8286;0.4325;-0.0524;-0.1222;0.0524;
0.0360;0.7897;-0.8286;0.4325;-0.0698;-0.0872;0.0524;
0.0360;0.7132;-0.6160;0.4816;-0.0698;-0.0872;0.0524;
0.0980;0.7132;-0.6160;0.4816;-0.0698;-0.0872;0.0524;
0.1000;0.7132;-0.6160;0.4816;-0.0698;-0.0872;0.0524;
0.1010;0.7132;-0.6160;0.4816;-0.1047;-0.0349;0.0872;
0.1010;0.4282;-0.0415;-0.8816;-0.1047;-0.0349;0.0872;
0.1640;0.4282;-0.0415;-0.8816;-0.1047;-0.0349;0.0872;
0.1670;0.4282;-0.0415;-0.8816;-0.1047;-0.0349;0.0872;
0.1680;0.4282;-0.0415;-0.8816;-0.1571;0.0000;0.1222;
0.1680;0.7270;-0.3119;1.1624;-0.1571;0.0000;0.1222;
0.2300;0.7270;-0.3119;1.1624;-0.1571;0.0000;0.1222;
0.2330;0.7270;-0.3119;1.1624;-0.1571;0.0000;0.1222;
0.2330;0.7270;-0.3119;1.1624;-0.1571;-0.0174;0.1396;
0.2340;-0.3024;0.2608;-0.8199;-0.1571;-0.0174;0.1396;
0.2970;-0.3024;0.2608;-0.8199;-0.1571;-0.0174;0.1396;
0.2990;-0.3024;0.2608;-0.8199;-0.1571;-0.0174;0.1396;
0.2990;-0.3024;0.2608;-0.8199;-0.1047;-0.0349;0.1222;
0.3000;0.7574;-0.2903;0.6970;-0.1047;-0.0349;0.1222;
0.3620;0.7574;-0.2903;0.6970;-0.1047;-0.0349;0.1222;
0.3650;0.7574;-0.2903;0.6970;-0.1047;-0.0349;0.1222;
0.3650;0.7574;-0.2903;0.6970;-0.0349;-0.0349;0.0872;
0.3660;-1.5303;-0.3707;-0.3715;-0.0349;-0.0349;0.0872;
0.4280;-1.5303;-0.3707;-0.3715;-0.0349;-0.0349;0.0872;
0.4310;-1.5303;-0.3707;-0.3715;-0.0349;-0.0349;0.0872;
0.4310;-1.5303;-0.3707;-0.3715;0.0524;0.0000;0.0000;
0.4320;-1.5495;-0.4796;-1.4930;0.0524;0.0000;0.0000;
0.4940;-1.5495;-0.4796;-1.4930;0.0524;0.0000;0.0000;
